[2026-06-11T05:49:02.784085] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T05:49:36.571376] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T05:50:10.316829] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T05:51:06.642727] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T06:13:49.532349] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T06:20:49.616162] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T06:23:29.286533] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T06:26:11.212508] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T06:30:10.616151] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T06:35:02.368729] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T09:47:22.764865] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T09:51:32.774925] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T09:54:13.502763] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T09:57:36.717182] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T10:00:16.576511] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T10:02:58.223004] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T10:06:45.016493] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T10:10:04.135871] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T10:13:23.655610] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T10:16:03.018068] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T10:18:42.873063] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T11:00:20.135503] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T11:05:10.390123] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T11:09:47.007629] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T11:14:34.548597] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T11:19:08.701949] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T11:23:40.787240] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T11:28:13.581215] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T11:32:47.304158] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T12:04:42.357171] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T12:09:14.690761] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T12:13:56.443593] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T12:18:50.862106] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T12:56:15.684206] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T13:09:31.906715] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T13:14:10.091378] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T13:36:48.165868] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T13:41:18.174228] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T13:50:08.967442] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T13:54:39.532571] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T14:00:14.955658] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T14:04:43.796472] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T14:12:27.329553] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T14:24:02.614789] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T14:29:42.096712] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T15:24:39.947414] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T15:31:21.343763] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T22:46:46.395400] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T23:00:51.577859] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T23:37:40.094929] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T23:46:13.660640] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T23:50:06.366207] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
[2026-06-11T23:54:29.723128] [injection_blocked] Prompt injection: jailbreak attempt (matched: jailbreak) | content_len=39
